code;value;year
BFA;90.5;2022
PAK;89.7;2022
CIV;89.6;2022
PRK;89.1;2022
LBR;88.2;2022
KEN;88.2;2022
AGO;88.1;2022
MRT;87.9;2022
PSE;85.6;2022
BGD;84.5;2022
GNQ;84.1;2022
IRN;84.1;2022
RWA;83.7;2022
EGY;83.6;2022
ZMB;83.6;2022
TGO;83.6;2022
MWI;83;2022
SLE;82.4;2022
COM;82.3;2022
DJI;81.3;2022
NPL;80.6;2022
KHM;80.5;2022
PHL;80.5;2022
MDG;80.4;2022
SWZ;80.4;2022
SLB;80.4;2022
PNG;79.5;2022
LKA;79.3;2022
TLS;79.3;2022
HND;78.7;2022
GMB;78.6;2022
COL;78.4;2022
TZA;78.2;2022
TUR;78.1;2022
NIC;77.7;2022
GTM;77.5;2022
LSO;77.4;2022
KGZ;77.1;2022
JOR;76.6;2022
LAO;75.5;2022
IND;75.3;2022
TJK;75;2022
BRA;73.9;2022
BOL;73.4;2022
AZE;73.1;2022
BIH;73;2022
RUS;72.6;2022
BEN;72.5;2022
DZA;72.2;2022
SEN;72.1;2022
ZAF;72;2022
GEO;71.8;2022
FSM;71;2022
SLV;70.8;2022
STP;70.4;2022
MEX;70.3;2022
MAR;70.1;2022
THA;70;2022
PER;69.8;2022
UZB;69.6;2022
ECU;69.1;2022
FJI;68.9;2022
BLR;68.7;2022
UKR;68.6;2022
TUN;68.2;2022
SRB;67.8;2022
SAU;67.5;2022
BTN;67.4;2022
ARM;67;2022
CHN;66.9;2022
GAB;66.7;2022
BHR;66.6;2022
IDN;66.6;2022
TKM;66.5;2022
PRY;65.4;2022
WSM;64.8;2022
MDV;64.5;2022
MDA;64.5;2022
GUY;64.2;2022
GHA;63;2022
NAM;62.9;2022
DOM;62.8;2022
MKD;62.6;2022
JAM;62.1;2022
BLZ;62.1;2022
CPV;61.4;2022
VNM;60.9;2022
SUR;60.8;2022
CUB;60.1;2022
KAZ;59.5;2022
MNE;57.9;2022
CYP;56.9;2022
ALB;56.7;2022
MYS;56.4;2022
BWA;56.1;2022
GRC;55.8;2022
BRN;55.1;2022
GRD;54.3;2022
ATG;54.2;2022
SYC;54.2;2022
TTO;52.4;2022
KWT;52.2;2022
BGR;51.6;2022
MNG;51.6;2022
HUN;50.8;2022
ROU;50.8;2022
BHS;50.6;2022
OMN;49.5;2022
HRV;49.3;2022
ARG;47.9;2022
PAN;47.5;2022
USA;46.6;2022
BRB;45.9;2022
ESP;44.4;2022
ITA;43.4;2022
CHL;43.2;2022
LVA;42.8;2022
ISR;42.6;2022
QAT;42.3;2022
POL;42.2;2022
CRI;41;2022
GBR;40.6;2022
CZE;39.9;2022
ARE;39.1;2022
LTU;38.6;2022
MUS;37.9;2022
EST;37.7;2022
SVK;37.1;2022
URY;35.2;2022
MLT;34.7;2022
KOR;32.7;2022
BEL;31.9;2022
JPN;31;2022
FRA;30.9;2022
SVN;27.7;2022
PRT;27.5;2022
SGP;25.8;2022
AUT;25.4;2022
